date	temp_min	temp_avg	temp_max	rainfall	windspeed_avg	windspeed_gusts
2016-07-01	21.7	24.6	27.5	0.0	3.6	6.7
2016-07-02	20.9	24.2	27.5	0.0	3.9	8.9
2016-07-03	21.1	23.6	26.0	0.0	4.2	9.7
2016-07-04	21.4	24.2	27.1	0.0	2.8	7.8
2016-07-05	22.7	25.9	29.1	0.0	3.3	9.2
2016-07-06	24.2	27.2	30.2	0.0	4.2	10.8
2016-07-07	22.2	25.5	28.8	0.0	5.3	10.3
2016-07-08	24.1	27.6	31.2	0.0	3.9	7.8
2016-07-09	24.2	27.4	30.5	0.0	3.9	8.3
2016-07-10	24.3	26.8	29.4	0.0	4.4	10.8
2016-07-11	23.5	26.6	29.8	0.0	3.6	9.4
2016-07-12	24.5	26.2	27.9	3.2	5.3	9.7
2016-07-13	19.1	23.6	28.1	1.8	5.8	13.9
2016-07-14	18.3	22.1	25.9	0.0	5.8	12.5
2016-07-15	19.2	22.6	26.1	0.0	6.4	11.4
2016-07-16	18.9	23.0	27.0	0.0	5.0	10.8
2016-07-17	20.1	24.0	27.8	0.0	4.4	9.2
2016-07-18	19.9	23.4	27.0	0.0	3.3	7.8
2016-07-19	19.4	23.4	27.5	0.0	5.6	7.8
2016-07-20	21.2	25.0	28.8	1.5	6.7	16.9
2016-07-21	24.2	26.1	28.0	0.0	4.2	8.3
2016-07-22	20.3	24.6	28.8	7.7	3.9	12.8
2016-07-23	20.0	24.1	28.2	0.0	3.9	9.7
2016-07-24	20.8	25.6	30.5	0.0	5.6	9.7
2016-07-25	22.2	25.6	29.1	0.0	5.3	13.9
2016-07-26	22.5	26.0	29.5	0.0	4.4	11.7
2016-07-27	22.0	25.7	29.4	0.0	3.3	9.7
2016-07-28	22.4	25.8	29.1	0.0	4.7	10.3
2016-07-29	22.6	26.0	29.4	0.0	4.4	10.3
2016-07-30	23.2	26.4	29.7	0.0	5.0	9.7
2016-07-31	24.7	27.4	30.0	0.0	6.1	9.7
2016-08-01	25.0	26.9	28.8	0.0	5.3	11.7
2016-08-02	24.1	27.0	29.8	0.0	5.8	11.4
2016-08-03	22.9	26.2	29.5	0.0	5.3	11.7
2016-08-04	23.6	27.7	31.8	0.0	5.0	10.8
2016-08-05	24.3	25.8	27.4	0.0	4.7	9.7
2016-08-06	23.1	25.7	28.3	0.0	4.7	10.3
2016-08-07	21.5	25.0	28.4	0.0	3.9	7.8
2016-08-08	21.6	26.2	30.8	0.0	6.7	12.5
2016-08-09	21.6	26.0	30.3	0.1	5.0	10.3
2016-08-10	20.8	23.6	26.3	0.0	5.3	9.7
2016-08-11	20.0	23.3	26.6	0.0	5.0	9.7
2016-08-12	20.7	24.2	27.7	0.0	5.0	9.2
2016-08-13	21.1	23.9	26.7	0.0	3.6	9.7
2016-08-14	19.8	23.9	28.0	0.0	3.9	7.2
2016-08-15	20.3	24.6	29.0	0.0	4.2	8.3
2016-08-16	23.1	26.0	28.8	0.0	4.7	11.4
2016-08-17	22.3	25.8	29.3	0.0	4.7	14.4
2016-08-18	23.5	26.4	29.2	0.0	3.9	9.2
2016-08-19	22.3	25.8	29.4	0.0	3.6	9.7
2016-08-20	23.5	26.4	29.2	0.0	7.2	13.9
2016-08-21	23.3	26.0	28.8	0.0	5.6	10.8
2016-08-22	22.2	25.8	29.3	0.0	4.4	9.2
2016-08-23	21.4	25.0	28.5	0.0	3.3	7.8
2016-08-24	20.5	25.6	30.7	0.0	3.3	6.7
2016-08-25	20.7	26.0	31.2	0.0	3.9	10.3
2016-08-26	20.1	24.3	28.5	0.0	3.3	7.2
2016-08-27	19.9	24.2	28.6	0.0	5.3	9.7
2016-08-28	22.7	26.0	29.4	0.0	4.7	8.9
2016-08-29	24.6	26.4	28.2	0.4	3.1	7.8
2016-08-30	21.8	24.0	26.3	0.1	3.9	9.7
2016-08-31	21.1	24.4	27.8	0.0	3.3	7.8
2016-09-01	22.9	27.2	31.5	0.0	4.2	8.3
2016-09-02	22.2	25.7	29.2	0.0	5.3	11.7
2016-09-03	22.9	26.2	29.6	0.0	5.8	12.8
2016-09-04	22.9	26.5	30.1	0.0	4.4	10.8
2016-09-05	24.2	27.9	31.6	0.0	3.1	6.7
2016-09-06	23.2	27.2	31.2	0.0	4.2	7.8
2016-09-07	22.8	26.0	29.1	0.0	3.9	10.3
2016-09-08	21.9	25.0	28.1	0.0	3.9	8.3
2016-09-09	23.9	26.8	29.6	0.3	5.0	10.8
2016-09-10	21.0	24.7	28.4	0.0	4.7	10.3
2016-09-11	21.2	25.3	29.4	0.0	5.8	9.7
2016-09-12	21.8	25.6	29.3	0.0	4.2	8.9
2016-09-13	18.7	24.0	29.4	17.6	3.9	13.3
2016-09-14	16.2	21.4	26.6	0.4	3.6	17.5
2016-09-15	14.9	20.2	25.6	0.6	4.2	9.7
2016-09-16	15.7	21.0	26.2	0.0	3.6	9.7
2016-09-17	17.8	21.0	24.1	3.6	4.2	10.3
2016-09-18	15.7	19.8	23.8	0.0	3.3	12.5
2016-09-19	16.6	21.8	26.9	0.0	6.4	10.8
2016-09-20	18.1	22.5	26.9	0.0	4.4	12.5
2016-09-21	17.3	21.8	26.2	0.0	5.3	9.2
2016-09-22	18.0	22.0	26.1	0.0	4.4	8.9
2016-09-23	18.0	21.9	25.8	14.4	5.0	12.8
2016-09-24	17.7	21.3	24.9	0.0	3.3	14.4
2016-09-25	17.6	21.6	25.7		6.4	16.9
2016-09-26	16.3	20.8	25.2	0.0	5.3	8.9
2016-09-27	19.6	22.8	25.9	0.2	3.1	8.3
2016-09-28	18.0	22.3	26.6	0.0	5.8	11.7
2016-09-29	16.6	21.0	25.5	0.0	4.2	7.2
2016-09-30	17.2	21.5	25.8	0.0	3.9	7.8
2016-10-01	17.7	21.6	25.5	0.0	5.0	9.7
2016-10-02	19.6	22.6	25.7	7.7	3.1	10.3
2016-10-03	19.8	21.8	23.9	0.0	3.9	9.2
2016-10-04	19.1	22.2	25.3	0.0	4.7	14.4
