PURCHASED_DEVICE,DEVICE_VALUE,LAST_DEVICE_CHANGE,DATA_TRAFFIC_MONTH_1,DATA_TRAFFIC_MONTH_2,DATA_TRAFFIC_MONTH_3,DATA_TRAFFIC_MONTH_4,DATA_TRAFFIC_MONTH_5,DATA_TRAFFIC_MONTH_6,VOICE_TRAFFIC_MONTH_1,VOICE_TRAFFIC_MONTH_2,VOICE_TRAFFIC_MONTH_3,VOICE_TRAFFIC_MONTH_4,VOICE_TRAFFIC_MONTH_5,VOICE_TRAFFIC_MONTH_6,BILLING_MONTH_1,BILLING_MONTH_2,BILLING_MONTH_3,BILLING_MONTH_4,BILLING_MONTH_5,BILLING_MONTH_6,DEVICE_COST_MONTH_1,DEVICE_COST_MONTH_2,DEVICE_COST_MONTH_3,DEVICE_COST_MONTH_4,DEVICE_COST_MONTH_5,DEVICE_COST_MONTH_6,LINE_ACTIVATION_DATE,MONTHS_LAST_DEVICE,DURATION_LINE,PREVIOUS_DEVICE_MODEL,PREVIOUS_DEVICE_MANUF,PREVIOUS_DEVICE_BRAND
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,393.0,,465.24673,530.80615,530.80615,781.12646,398.99377,1169.3961,47.5,21.799999,21.799999,30.0,79.699997,43.5,86.77,107.93,86.05,88.65,85.0,103.35,12.0,12.0,12.0,12.0,12.0,12.0,20041220,,172,Moto G4 Plus,"Motorola Mobility LLC, a Lenovo Company",Motorola
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20170401,232.24121,272.25525,272.25525,704.88519,412.71664,365.14441,3.7,0.5,0.5,4.6999998,4.0999999,4.9000001,47.52,47.0,47.0,47.73,50.8,56.56,0.0,0.0,0.0,0.0,0.0,0.0,20170405,20,20,Samsung Galaxy J1 Mini,Samsung Korea,Samsung
TGMO35912000_MOTOROLA XT1922 SMARTPHONE INDIGO,875.0,,484.62036,264.13843,264.13843,348.50073,380.44156,250.73566,26.1,218.7,218.7,56.799999,56.0,108.3,122.08,113.77,129.14,122.64,115.02,128.04,0.0,0.0,0.0,0.0,0.0,0.0,20040412,,176,Moto E (2ª Geração),"Motorola Mobility LLC, a Lenovo Company",Motorola
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20171001,4255.4604,836.11707,836.11707,691.5564,146.7666,302.49249,175.7,216.3,216.3,153.3,119.0,231.2,60.39,58.0,58.0,60.93000000000001,55.99,55.99,6.0,6.0,6.0,6.0,6.0,6.0,20110825,14,88,iPhone 6,Apple Inc,Apple
TGMO35912000_MOTOROLA XT1922 SMARTPHONE INDIGO,609.0,20190101,5014.103,2659.0515,2659.0515,2435.0393,2053.9795,1553.115,383.89999,0.0,0.0,0.0,0.0,0.0,110.69,110.69,110.69,110.15,107.99,107.99,0.0,0.0,0.0,0.0,0.0,0.0,20140617,-1,54,K10a40,"Motorola Mobility LLC, a Lenovo Company",Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,297.0,20170901,0.0,,,,,,108.5,,,,,,102.84,102.84,102.8,102.15,99.99,99.99,0.0,0.0,0.0,0.0,0.0,0.0,20170905,15,15,GL865-QUAD,Telit Communications SpA,Outros
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20150701,1127.1079,268.22552,268.22552,320.17395,135.45976,212.06636,370.89999,357.89999,357.89999,440.5,315.70001,293.79999,95.17,95.77,94.99,95.09,90.99,91.29,0.0,0.0,0.0,0.0,0.0,0.0,20100809,41,100,Moto G com 4G (2ª Geração),"Motorola Mobility LLC, a Lenovo Company",Motorola
DGAP068C2000_APPLE IPHONE 8 256GB CINZA PPB/PI643/10,3465.0,20170101,1520.2056,2196.5745,2196.5745,1815.7009,2101.6816,3224.2834,206.89999,550.90002,550.90002,439.79999,375.10001,369.79999,115.0,120.34,159.03,132.59,186.31,167.45,13.0,13.0,13.0,13.0,13.0,13.0,20121029,23,74,iPhone 6,Apple Inc,Apple
TGMO35912000_MOTOROLA XT1922 SMARTPHONE INDIGO,415.0,20181101,10789.82,10423.674,10423.674,5188.5967,7379.4043,6789.4829,64.300003,0.0,0.0,0.5,0.0,0.0,112.84,112.84,112.8,112.15,109.99,149.98,0.0,0.0,0.0,0.0,0.0,0.0,20120509,1,79,iPhone 6,Apple Inc,Apple
TGLG29162000_LG X210BMW SMARTPHONE PRETO PPB/P1769/07,345.0,20141101,793.15601,734.51996,734.51996,156.38121,467.95233,721.30389,2.7,6.0999999,6.0999999,5.0,4.4000001,2.0,52.0,52.0,52.0,51.99,51.73,50.99,0.0,0.0,0.0,0.0,0.0,0.0,20141130,49,49,Samsung Galaxy J5,Samsung Korea,Samsung
